%"Dk
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [Dk]
%Num. Points : [38]
%Matrix Size : scalar
%Type : Real","freq
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg"
1.000537800,5.000000000 GHz,0.032685952 / 175.305934114 ,0.994109465 / -107.327385955 ,0.994109465 / -107.327385955 ,0.033237584 / 147.119590068 
1.000537890,5.000000000 GHz,0.032685952 / 175.305934114 ,0.994109465 / -107.327385955 ,0.994109465 / -107.327385955 ,0.033237584 / 147.119590068 
1.000537981,5.000000000 GHz,0.032685952 / 175.305934114 ,0.994109465 / -107.327385955 ,0.994109465 / -107.327385955 ,0.033237584 / 147.119590068 
1.000538071,5.000000000 GHz,0.032685952 / 175.305934114 ,0.994109465 / -107.327385955 ,0.994109465 / -107.327385955 ,0.033237584 / 147.119590068 
1.000538161,5.000000000 GHz,0.032685952 / 175.305934114 ,0.994109465 / -107.327385955 ,0.994109465 / -107.327385955 ,0.033237584 / 147.119590068 
1.000538252,5.000000000 GHz,0.032685952 / 175.305934114 ,0.994109465 / -107.327385955 ,0.994109465 / -107.327385955 ,0.033237584 / 147.119590068 
1.000538342,5.000000000 GHz,0.032685952 / 175.305934114 ,0.994109465 / -107.327385955 ,0.994109465 / -107.327385955 ,0.033237584 / 147.119590068 
