% Model,CPWG_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 10 2025, 21:24"
% Table,Table 26 - MUT Sweep Param
% MUT_Er,Frequency (Hz),S11 (1),S21 (1)
1.00053779988,5.0E9,-0.003691602330812316+0.0017827865467666747i,-0.41181210223644554-0.9107650314597564i
1.00053789020379,5.0E9,-0.003691608574335881+0.0017827893918881785i,-0.411812111693057-0.910765027215003i
1.00053798052758,5.0E9,-0.003691614757972772+0.0017827922509307567i,-0.4118121209849804-0.9107650229492797i
1.00053807085138,5.0E9,-0.0036916209523225165+0.0017827950881806852i,-0.4118121303248482-0.910765018717264i
1.00053816117519,5.0E9,-0.0036916271900050645+0.00178279796817878i,-0.4118121396613339-0.9107650144117352i
1.000538251499,5.0E9,-0.003691633439001407+0.0017828008495975746i,-0.41181214909493047-0.9107650101437688i
1.00053834182282,5.0E9,-0.003691639646619116+0.0017828036967565176i,-0.411812158462152-0.9107650059042435i
1.00053843214664,5.0E9,-0.003691645829315071+0.0017828064528466036i,-0.41181216774332113-0.9107650016655148i
1.00053852247047,5.0E9,-0.0036916520413232236+0.001782809443044295i,-0.411812177169894-0.9107649973446513i
1.0005386127943,5.0E9,-0.0036916582264908014+0.001782812245297753i,-0.4118121864205528-0.9107649931327446i
1.00062812638563,5.0E9,-0.0036978135013026048+0.001785643522712248i,-0.41182145637880013-0.9107607701643599i
1.0007184583297,5.0E9,-0.0037040249369743707+0.001788500849957194i,-0.4118308109319647-0.9107565084409872i
1.00080879571271,5.0E9,-0.003710236544522161+0.0017913584182230845i,-0.4118401657938656-0.9107522463799947i
1.00089913853514,5.0E9,-0.003716448427631569+0.0017942161635773623i,-0.4118495212109841-0.9107479839852864i
1.00098948679748,5.0E9,-0.0037226606117739536+0.0017970742641110332i,-0.4118588770860355-0.9107437211588504i
1.00107984050023,5.0E9,-0.003728872923880111+0.0017999325884062519i,-0.4118682332706854-0.9107394580113504i
1.00117019964387,5.0E9,-0.0037350855250004146+0.0018027912507734601i,-0.4118775899727011-0.9107351944972792i
1.0012605642289,5.0E9,-0.0037412983171618563+0.0018056500815339673i,-0.41188694707888984-0.9107309306286225i
1.00135093425582,5.0E9,-0.0037475114084157823+0.0018085092614280051i,-0.4118963046653567-0.9107266663590119i
1.0014413097251,5.0E9,-0.0037537247181500533+0.0018113685656762468i,-0.4119056626675518-0.9107224017504063i
1.00234536385658,5.0E9,-0.0038158706463292448+0.001839977047301037i,-0.4119992663812324-0.910679735506891i
1.00324996276642,5.0E9,-0.003878039938255995+0.0018686100887275244i,-0.4120929145556443-0.9106370315865411i
1.00415510694717,5.0E9,-0.003940233259118564+0.001897271457554798i,-0.4121866052235307-0.9105942921289687i
1.00506079689202,5.0E9,-0.004002450221146603+0.0019259592605823813i,-0.4122803394003579-0.9105515160260014i
1.00596703309471,5.0E9,-0.0040646911880505955+0.0019546754840046336i,-0.41237411619766695-0.910508704315302i
1.00687381604959,5.0E9,-0.004126955513470065+0.001983416400313431i,-0.41246793740954085-0.9104658548164153i
1.00778114625163,5.0E9,-0.004189243533095954+0.0020121838652221147i,-0.41256180222487115-0.91042296849582i
1.00868902419636,5.0E9,-0.004251555062073286+0.0020409780153656638i,-0.4126557104494979-0.9103800454901279i
1.00959745037993,5.0E9,-0.00431389049845734+0.002069798613753687i,-0.4127496625547115-0.9103370855553354i
1.01871197493415,5.0E9,-0.004938549514645984+0.0023594758086867757i,-0.4136915881708715-0.9099054512466369i
1.02788187361308,5.0E9,-0.0055655889934321575+0.002651844893253894i,-0.4146379078794851-0.9094700891418752i
1.03710765258186,5.0E9,-0.006195016256753583+0.0029469332961934895i,-0.4155886504733376-0.9090309585653953i
1.04638982419353,5.0E9,-0.006826840763576492+0.003244773158630364i,-0.4165438423616723-0.9085880216919463i
1.05572890708386,5.0E9,-0.007461070101814471+0.003545391607858499i,-0.41750351254855184-0.9081412369505747i
1.06512542626792,5.0E9,-0.00809771387977598+0.0038488169082616054i,-0.4184676911873771-0.9076905625775243i
1.0745799132385,5.0E9,-0.008736779470838129+0.00415507931546018i,-0.41943640624081036-0.9072359574145473i
1.08409290606633,5.0E9,-0.009378275763654464+0.004464208591426642i,-0.42040968807484946-0.9067773779795602i
1.09366494950212,5.0E9,-0.010022210036446922+0.004776235859144008i,-0.42138756458657384-0.9063147834932351i
