Frequency,dB(S11),phase(S11),dB(S21),phase(S21)
4.000e9,-39.236,11.467,-0.061,-87.559
4.042e9,-38.621,10.116,-0.062,-88.477
4.083e9,-38.036,8.814,-0.063,-89.395
4.125e9,-37.479,7.553,-0.064,-90.314
4.167e9,-36.948,6.326,-0.065,-91.232
4.208e9,-36.439,5.13,-0.066,-92.151
4.250e9,-35.951,3.959,-0.067,-93.07
4.292e9,-35.482,2.811,-0.068,-93.989
4.333e9,-35.031,1.683,-0.069,-94.909
4.375e9,-34.596,0.572,-0.07,-95.828
4.417e9,-34.176,-0.523,-0.071,-96.748
4.458e9,-33.77,-1.604,-0.072,-97.668
4.500e9,-33.378,-2.674,-0.074,-98.588
4.542e9,-32.997,-3.732,-0.075,-99.508
4.583e9,-32.628,-4.781,-0.076,-100.429
4.625e9,-32.27,-5.82,-0.077,-101.35
4.667e9,-31.922,-6.852,-0.079,-102.27
4.708e9,-31.583,-7.876,-0.08,-103.192
4.750e9,-31.254,-8.894,-0.081,-104.113
4.792e9,-30.934,-9.906,-0.083,-105.034
4.833e9,-30.621,-10.913,-0.084,-105.956
4.875e9,-30.317,-11.914,-0.086,-106.878
4.917e9,-30.02,-12.911,-0.087,-107.8
4.958e9,-29.73,-13.904,-0.089,-108.722
5.000e9,-29.448,-14.893,-0.09,-109.644
5.042e9,-29.171,-15.878,-0.092,-110.567
5.083e9,-28.902,-16.861,-0.093,-111.489
5.125e9,-28.638,-17.84,-0.095,-112.412
5.167e9,-28.38,-18.816,-0.096,-113.335
5.208e9,-28.128,-19.79,-0.098,-114.258
5.250e9,-27.882,-20.761,-0.1,-115.182
5.292e9,-27.64,-21.73,-0.101,-116.105
5.333e9,-27.404,-22.696,-0.103,-117.029
5.375e9,-27.173,-23.661,-0.105,-117.953
5.417e9,-26.947,-24.623,-0.107,-118.876
5.458e9,-26.726,-25.584,-0.108,-119.801
5.500e9,-26.509,-26.542,-0.11,-120.725
5.542e9,-26.297,-27.499,-0.112,-121.649
5.583e9,-26.089,-28.454,-0.114,-122.574
5.625e9,-25.885,-29.407,-0.116,-123.498
5.667e9,-25.685,-30.359,-0.118,-124.423
5.708e9,-25.49,-31.308,-0.12,-125.348
5.750e9,-25.298,-32.256,-0.122,-126.273
5.792e9,-25.111,-33.202,-0.124,-127.198
5.833e9,-24.927,-34.146,-0.126,-128.123
5.875e9,-24.747,-35.089,-0.128,-129.048
5.917e9,-24.57,-36.029,-0.13,-129.973
5.958e9,-24.397,-36.968,-0.132,-130.899
6.000e9,-24.228,-37.904,-0.135,-131.824
