%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg"
4.000 GHz,0.275 / -110.416 ,0.675 / 91.617 ,0.675 / 91.617 ,0.302 / 149.096 
4.010 GHz,0.237 / -115.331 ,0.673 / 85.038 ,0.673 / 85.038 ,0.268 / 146.591 
4.020 GHz,0.194 / -118.125 ,0.661 / 78.322 ,0.661 / 78.322 ,0.234 / 146.402 
4.030 GHz,0.150 / -116.294 ,0.639 / 71.547 ,0.639 / 71.547 ,0.203 / 149.651 
4.040 GHz,0.114 / -105.038 ,0.606 / 64.849 ,0.606 / 64.849 ,0.184 / 156.847 
4.050 GHz,0.103 / -82.643 ,0.561 / 58.434 ,0.561 / 58.434 ,0.182 / 166.146 
4.060 GHz,0.124 / -63.921 ,0.507 / 52.605 ,0.507 / 52.605 ,0.197 / 173.717 
4.070 GHz,0.161 / -57.116 ,0.445 / 47.795 ,0.445 / 47.795 ,0.224 / 177.348 
4.080 GHz,0.200 / -57.514 ,0.380 / 44.646 ,0.380 / 44.646 ,0.254 / 177.371 
4.090 GHz,0.235 / -61.224 ,0.314 / 44.159 ,0.314 / 44.159 ,0.284 / 174.938 
4.101 GHz,0.262 / -66.366 ,0.256 / 47.870 ,0.256 / 47.870 ,0.310 / 171.024 
4.111 GHz,0.281 / -72.013 ,0.214 / 57.486 ,0.214 / 57.486 ,0.331 / 166.275 
4.121 GHz,0.292 / -77.661 ,0.199 / 72.292 ,0.199 / 72.292 ,0.346 / 161.082 
4.131 GHz,0.296 / -82.996 ,0.215 / 86.602 ,0.215 / 86.602 ,0.357 / 155.664 
4.141 GHz,0.294 / -87.800 ,0.254 / 95.534 ,0.254 / 95.534 ,0.363 / 150.135 
4.151 GHz,0.288 / -91.905 ,0.306 / 99.154 ,0.306 / 99.154 ,0.365 / 144.539 
4.161 GHz,0.279 / -95.191 ,0.362 / 99.188 ,0.362 / 99.188 ,0.363 / 138.877 
4.171 GHz,0.269 / -97.616 ,0.418 / 96.983 ,0.418 / 96.983 ,0.357 / 133.127 
4.181 GHz,0.259 / -99.250 ,0.473 / 93.356 ,0.473 / 93.356 ,0.348 / 127.265 
4.191 GHz,0.251 / -100.301 ,0.523 / 88.791 ,0.523 / 88.791 ,0.334 / 121.278 
4.201 GHz,0.245 / -101.075 ,0.568 / 83.583 ,0.568 / 83.583 ,0.316 / 115.191 
4.211 GHz,0.241 / -101.868 ,0.607 / 77.920 ,0.607 / 77.920 ,0.293 / 109.087 
4.221 GHz,0.237 / -102.839 ,0.639 / 71.924 ,0.639 / 71.924 ,0.264 / 103.152 
4.231 GHz,0.231 / -103.935 ,0.663 / 65.673 ,0.663 / 65.673 ,0.231 / 97.760 
4.241 GHz,0.224 / -104.875 ,0.678 / 59.222 ,0.678 / 59.222 ,0.192 / 93.687 
4.251 GHz,0.214 / -105.194 ,0.684 / 52.612 ,0.684 / 52.612 ,0.150 / 92.664 
4.261 GHz,0.204 / -104.319 ,0.680 / 45.891 ,0.680 / 45.891 ,0.111 / 98.797 
4.271 GHz,0.196 / -101.804 ,0.665 / 39.132 ,0.665 / 39.132 ,0.087 / 118.954 
4.281 GHz,0.193 / -97.772 ,0.639 / 32.449 ,0.639 / 32.449 ,0.097 / 145.104 
4.291 GHz,0.199 / -93.299 ,0.602 / 26.022 ,0.602 / 26.022 ,0.133 / 157.015 
4.302 GHz,0.215 / -89.986 ,0.554 / 20.106 ,0.554 / 20.106 ,0.178 / 157.556 
4.312 GHz,0.237 / -88.897 ,0.499 / 15.054 ,0.499 / 15.054 ,0.221 / 152.852 
4.322 GHz,0.262 / -90.146 ,0.439 / 11.345 ,0.439 / 11.345 ,0.259 / 145.739 
4.332 GHz,0.287 / -93.285 ,0.378 / 9.620 ,0.378 / 9.620 ,0.289 / 137.493 
4.342 GHz,0.308 / -97.758 ,0.321 / 10.699 ,0.321 / 10.699 ,0.309 / 128.749 
4.352 GHz,0.324 / -103.100 ,0.276 / 15.406 ,0.276 / 15.406 ,0.321 / 119.847 
4.362 GHz,0.334 / -108.977 ,0.248 / 23.831 ,0.248 / 23.831 ,0.324 / 110.968 
4.372 GHz,0.337 / -115.170 ,0.242 / 34.190 ,0.242 / 34.190 ,0.319 / 102.205 
4.382 GHz,0.335 / -121.537 ,0.257 / 43.379 ,0.257 / 43.379 ,0.309 / 93.594 
4.392 GHz,0.326 / -127.989 ,0.288 / 49.456 ,0.288 / 49.456 ,0.293 / 85.141 
4.402 GHz,0.311 / -134.464 ,0.328 / 52.363 ,0.328 / 52.363 ,0.272 / 76.833 
4.412 GHz,0.292 / -140.910 ,0.372 / 52.820 ,0.372 / 52.820 ,0.248 / 68.640 
4.422 GHz,0.267 / -147.257 ,0.417 / 51.537 ,0.417 / 51.537 ,0.220 / 60.524 
4.432 GHz,0.237 / -153.391 ,0.462 / 49.024 ,0.462 / 49.024 ,0.190 / 52.430 
4.442 GHz,0.203 / -159.095 ,0.504 / 45.614 ,0.504 / 45.614 ,0.159 / 44.273 
4.452 GHz,0.165 / -163.909 ,0.544 / 41.525 ,0.544 / 41.525 ,0.126 / 35.896 
4.462 GHz,0.125 / -166.723 ,0.580 / 36.902 ,0.580 / 36.902 ,0.091 / 26.932 
4.472 GHz,0.084 / -164.264 ,0.611 / 31.852 ,0.611 / 31.852 ,0.056 / 16.164 
4.482 GHz,0.049 / -144.404 ,0.637 / 26.459 ,0.637 / 26.459 ,0.022 / -5.257 
4.492 GHz,0.046 / -94.399 ,0.655 / 20.805 ,0.655 / 20.805 ,0.018 / -142.824 
4.503 GHz,0.078 / -70.517 ,0.666 / 14.968 ,0.666 / 14.968 ,0.052 / -169.236 
4.513 GHz,0.116 / -66.848 ,0.669 / 9.028 ,0.669 / 9.028 ,0.088 / 179.195 
4.523 GHz,0.154 / -69.188 ,0.663 / 3.068 ,0.663 / 3.068 ,0.122 / 169.614 
4.533 GHz,0.188 / -73.674 ,0.649 / -2.829 ,0.649 / -2.829 ,0.156 / 160.582 
4.543 GHz,0.218 / -79.008 ,0.628 / -8.580 ,0.628 / -8.580 ,0.187 / 151.727 
4.553 GHz,0.243 / -84.643 ,0.599 / -14.097 ,0.599 / -14.097 ,0.216 / 142.930 
4.563 GHz,0.264 / -90.308 ,0.563 / -19.282 ,0.563 / -19.282 ,0.241 / 134.158 
4.573 GHz,0.279 / -95.857 ,0.523 / -24.018 ,0.523 / -24.018 ,0.263 / 125.419 
4.583 GHz,0.290 / -101.208 ,0.478 / -28.146 ,0.478 / -28.146 ,0.280 / 116.739 
4.593 GHz,0.297 / -106.312 ,0.430 / -31.440 ,0.430 / -31.440 ,0.292 / 108.156 
4.603 GHz,0.301 / -111.136 ,0.380 / -33.553 ,0.380 / -33.553 ,0.300 / 99.715 
4.613 GHz,0.302 / -115.655 ,0.331 / -33.952 ,0.331 / -33.952 ,0.303 / 91.472 
4.623 GHz,0.300 / -119.848 ,0.285 / -31.848 ,0.285 / -31.848 ,0.301 / 83.492 
4.633 GHz,0.296 / -123.700 ,0.247 / -26.285 ,0.247 / -26.285 ,0.295 / 75.850 
4.643 GHz,0.291 / -127.201 ,0.224 / -16.855 ,0.224 / -16.855 ,0.286 / 68.632 
4.653 GHz,0.284 / -130.358 ,0.222 / -5.201 ,0.222 / -5.201 ,0.274 / 61.925 
4.663 GHz,0.278 / -133.203 ,0.242 / 5.081 ,0.242 / 5.081 ,0.260 / 55.805 
4.673 GHz,0.271 / -135.797 ,0.280 / 11.559 ,0.280 / 11.559 ,0.246 / 50.302 
4.683 GHz,0.265 / -138.233 ,0.329 / 14.189 ,0.329 / 14.189 ,0.232 / 45.367 
4.693 GHz,0.259 / -140.624 ,0.382 / 13.916 ,0.382 / 13.916 ,0.219 / 40.846 
4.704 GHz,0.253 / -143.075 ,0.437 / 11.649 ,0.437 / 11.649 ,0.208 / 36.480 
4.714 GHz,0.246 / -145.659 ,0.490 / 8.039 ,0.490 / 8.039 ,0.197 / 31.972 
4.724 GHz,0.238 / -148.385 ,0.539 / 3.519 ,0.539 / 3.519 ,0.186 / 27.074 
4.734 GHz,0.229 / -151.188 ,0.582 / -1.623 ,0.582 / -1.623 ,0.174 / 21.661 
4.744 GHz,0.217 / -153.918 ,0.619 / -7.198 ,0.619 / -7.198 ,0.160 / 15.775 
4.754 GHz,0.203 / -156.332 ,0.650 / -13.078 ,0.650 / -13.078 ,0.142 / 9.643 
4.764 GHz,0.187 / -158.081 ,0.672 / -19.177 ,0.672 / -19.177 ,0.121 / 3.756 
4.774 GHz,0.170 / -158.695 ,0.686 / -25.428 ,0.686 / -25.428 ,0.096 / -0.839 
4.784 GHz,0.154 / -157.602 ,0.691 / -31.778 ,0.691 / -31.778 ,0.069 / -1.445 
4.794 GHz,0.140 / -154.299 ,0.687 / -38.167 ,0.687 / -38.167 ,0.044 / 10.721 
4.804 GHz,0.131 / -148.791 ,0.673 / -44.527 ,0.673 / -44.527 ,0.036 / 50.891 
4.814 GHz,0.129 / -142.139 ,0.650 / -50.769 ,0.650 / -50.769 ,0.056 / 78.277 
4.824 GHz,0.134 / -136.215 ,0.618 / -56.780 ,0.618 / -56.780 ,0.086 / 81.960 
4.834 GHz,0.145 / -132.462 ,0.578 / -62.411 ,0.578 / -62.411 ,0.117 / 77.494 
4.844 GHz,0.159 / -131.208 ,0.531 / -67.470 ,0.531 / -67.470 ,0.145 / 69.990 
4.854 GHz,0.172 / -132.049 ,0.478 / -71.697 ,0.478 / -71.697 ,0.170 / 61.156 
4.864 GHz,0.185 / -134.400 ,0.423 / -74.729 ,0.423 / -74.729 ,0.189 / 51.719 
4.874 GHz,0.195 / -137.745 ,0.367 / -76.042 ,0.367 / -76.042 ,0.202 / 42.054 
4.884 GHz,0.201 / -141.695 ,0.315 / -74.889 ,0.315 / -74.889 ,0.210 / 32.389 
4.894 GHz,0.205 / -145.980 ,0.271 / -70.358 ,0.271 / -70.358 ,0.211 / 22.890 
4.905 GHz,0.205 / -150.417 ,0.242 / -61.944 ,0.242 / -61.944 ,0.207 / 13.706 
4.915 GHz,0.203 / -154.897 ,0.234 / -50.909 ,0.234 / -50.909 ,0.198 / 5.003 
4.925 GHz,0.199 / -159.371 ,0.250 / -40.563 ,0.250 / -40.563 ,0.185 / -2.995 
4.935 GHz,0.192 / -163.847 ,0.285 / -33.595 ,0.285 / -33.595 ,0.168 / -9.965 
4.945 GHz,0.184 / -168.380 ,0.331 / -30.397 ,0.331 / -30.397 ,0.149 / -15.418 
4.955 GHz,0.174 / -173.067 ,0.383 / -30.175 ,0.383 / -30.175 ,0.129 / -18.644 
4.965 GHz,0.163 / -178.034 ,0.436 / -32.047 ,0.436 / -32.047 ,0.111 / -18.743 
4.975 GHz,0.150 / 176.589 ,0.488 / -35.351 ,0.488 / -35.351 ,0.098 / -15.076 
4.985 GHz,0.134 / 170.670 ,0.536 / -39.633 ,0.536 / -39.633 ,0.092 / -8.426 
