%"Dk
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [Dk]
%Num. Points : [5]
%Matrix Size : scalar
%Type : Real","freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [Dk,freq]
%Num. Points : [5,2001]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [5,2001]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [5,2001]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [5,2001]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [5,2001]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg"
1.000537800,4.000000000 GHz,0.316161287 / -110.056212074 ,0.674438459 / 90.906678154 ,0.674438459 / 90.906678154 ,0.348967996 / 148.541217383 
1.000537800,4.001000000 GHz,0.312739427 / -110.224712368 ,0.674721706 / 90.173753686 ,0.674721706 / 90.173753686 ,0.346494714 / 148.499085507 
1.000537800,4.002000000 GHz,0.309223494 / -110.374692164 ,0.675058240 / 89.440990219 ,0.675058240 / 89.440990219 ,0.343957828 / 148.470977914 
1.000537800,4.003000000 GHz,0.305607859 / -110.506359652 ,0.675449241 / 88.708741175 ,0.675449241 / 88.708741175 ,0.341353242 / 148.456845625 
1.000537800,4.004000000 GHz,0.301887115 / -110.619948285 ,0.675895689 / 87.977365649 ,0.675895689 / 87.977365649 ,0.338676966 / 148.456613764 
1.000537800,4.005000000 GHz,0.298056109 / -110.715713687 ,0.676398356 / 87.247226908 ,0.676398356 / 87.247226908 ,0.335925128 / 148.470182260 
1.000537800,4.006000000 GHz,0.294109964 / -110.793930724 ,0.676957797 / 86.518690856 ,0.676957797 / 86.518690856 ,0.333093980 / 148.497426531 
1.000537800,4.007000000 GHz,0.290044108 / -110.854890785 ,0.677574350 / 85.792124488 ,0.677574350 / 85.792124488 ,0.330179910 / 148.538198142 
1.000537800,4.008000000 GHz,0.285854300 / -110.898899301 ,0.678248125 / 85.067894326 ,0.678248125 / 85.067894326 ,0.327179444 / 148.592325415 
1.000537800,4.009000000 GHz,0.281536649 / -110.926273540 ,0.678979001 / 84.346364863 ,0.678979001 / 84.346364863 ,0.324089260 / 148.659613987 
1.000537800,4.010000000 GHz,0.277087642 / -110.937340708 ,0.679766628 / 83.627897021 ,0.679766628 / 83.627897021 ,0.320906190 / 148.739847281 
1.000537800,4.011000000 GHz,0.273076417 / -110.802442989 ,0.679411485 / 82.870968365 ,0.679411485 / 82.870968365 ,0.318359047 / 148.936037573 
1.000537800,4.012000000 GHz,0.269017161 / -110.635541844 ,0.679038342 / 82.111264566 ,0.679038342 / 82.111264566 ,0.315808285 / 149.153331798 
1.000537800,4.013000000 GHz,0.264877085 / -110.442069793 ,0.678711495 / 81.351130380 ,0.678711495 / 81.351130380 ,0.313214292 / 149.386789000 
1.000537800,4.014000000 GHz,0.260652428 / -110.220654848 ,0.678431936 / 80.590806848 ,0.678431936 / 80.590806848 ,0.310574829 / 149.636885300 
1.000537800,4.015000000 GHz,0.256339734 / -109.969767782 ,0.678200553 / 79.830539114 ,0.678200553 / 79.830539114 ,0.307887725 / 149.904118304 
1.000537800,4.016000000 GHz,0.251935898 / -109.687702340 ,0.678018131 / 79.070575800 ,0.678018131 / 79.070575800 ,0.305150883 / 150.189009963 
1.000537800,4.017000000 GHz,0.247438216 / -109.372553087 ,0.677885347 / 78.311168376 ,0.677885347 / 78.311168376 ,0.302362283 / 150.492109665 
1.000537800,4.018000000 GHz,0.242844425 / -109.022190479 ,0.677802766 / 77.552570526 ,0.677802766 / 77.552570526 ,0.299519997 / 150.813997604 
1.000537800,4.019000000 GHz,0.238152765 / -108.634232648 ,0.677770838 / 76.795037511 ,0.677770838 / 76.795037511 ,0.296622188 / 151.155288426 
1.000537800,4.020000000 GHz,0.233362028 / -108.206013342 ,0.677789896 / 76.038825536 ,0.677789896 / 76.038825536 ,0.293667125 / 151.516635208 
1.000537800,4.021000000 GHz,0.229483709 / -107.468996919 ,0.676602609 / 75.249077097 ,0.676602609 / 75.249077097 ,0.291732674 / 152.049879181 
1.000537800,4.022000000 GHz,0.225696824 / -106.663939856 ,0.675303539 / 74.453541408 ,0.675303539 / 74.453541408 ,0.289920705 / 152.614875128 
1.000537800,4.023000000 GHz,0.221893659 / -105.817917864 ,0.674032288 / 73.656057680 ,0.674032288 / 73.656057680 ,0.288114501 / 153.194917420 
1.000537800,4.024000000 GHz,0.218076372 / -104.927607951 ,0.672788944 / 72.856731464 ,0.672788944 / 72.856731464 ,0.286315003 / 153.790562771 
1.000537800,4.025000000 GHz,0.214247991 / -103.989395772 ,0.671573550 / 72.055671829 ,0.671573550 / 72.055671829 ,0.284523292 / 154.402378677 
