%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg"
4.000 GHz,0.284 / -28.669 ,0.231 / 69.683 ,0.231 / 69.683 ,0.251 / -119.671 
4.003 GHz,0.292 / -30.700 ,0.208 / 72.048 ,0.208 / 72.048 ,0.259 / -121.519 
4.007 GHz,0.300 / -32.729 ,0.186 / 75.644 ,0.186 / 75.644 ,0.267 / -123.418 
4.010 GHz,0.306 / -34.749 ,0.167 / 80.777 ,0.167 / 80.777 ,0.274 / -125.361 
4.014 GHz,0.313 / -36.754 ,0.151 / 87.690 ,0.151 / 87.690 ,0.281 / -127.339 
4.017 GHz,0.318 / -38.739 ,0.141 / 96.355 ,0.141 / 96.355 ,0.288 / -129.348 
4.021 GHz,0.323 / -40.700 ,0.136 / 106.217 ,0.136 / 106.217 ,0.294 / -131.384 
4.024 GHz,0.327 / -42.633 ,0.139 / 116.205 ,0.139 / 116.205 ,0.300 / -133.443 
4.028 GHz,0.331 / -44.535 ,0.147 / 125.187 ,0.147 / 125.187 ,0.305 / -135.523 
4.031 GHz,0.334 / -46.406 ,0.161 / 132.493 ,0.161 / 132.493 ,0.309 / -137.621 
4.035 GHz,0.336 / -48.244 ,0.178 / 138.009 ,0.178 / 138.009 ,0.314 / -139.734 
4.038 GHz,0.338 / -50.049 ,0.198 / 141.943 ,0.198 / 141.943 ,0.317 / -141.861 
4.042 GHz,0.340 / -51.820 ,0.220 / 144.601 ,0.220 / 144.601 ,0.321 / -144.001 
4.045 GHz,0.341 / -53.560 ,0.243 / 146.268 ,0.243 / 146.268 ,0.324 / -146.152 
4.049 GHz,0.342 / -55.269 ,0.266 / 147.175 ,0.266 / 147.175 ,0.326 / -148.313 
4.052 GHz,0.342 / -56.948 ,0.290 / 147.497 ,0.290 / 147.497 ,0.328 / -150.486 
4.056 GHz,0.342 / -58.599 ,0.315 / 147.365 ,0.315 / 147.365 ,0.330 / -152.669 
4.062 GHz,0.341 / -61.826 ,0.363 / 146.103 ,0.363 / 146.103 ,0.332 / -157.072 
4.069 GHz,0.338 / -64.967 ,0.411 / 143.907 ,0.411 / 143.907 ,0.333 / -161.532 
4.076 GHz,0.335 / -68.040 ,0.457 / 141.075 ,0.457 / 141.075 ,0.332 / -166.061 
4.083 GHz,0.330 / -71.064 ,0.502 / 137.789 ,0.502 / 137.789 ,0.329 / -170.673 
4.089 GHz,0.326 / -73.309 ,0.535 / 135.099 ,0.535 / 135.099 ,0.326 / -174.192 
4.094 GHz,0.321 / -75.540 ,0.566 / 132.255 ,0.566 / 132.255 ,0.322 / -177.768 
4.099 GHz,0.316 / -77.761 ,0.595 / 129.283 ,0.595 / 129.283 ,0.316 / 178.601 
4.104 GHz,0.309 / -79.974 ,0.623 / 126.203 ,0.623 / 126.203 ,0.310 / 174.915 
4.109 GHz,0.302 / -82.176 ,0.650 / 123.029 ,0.650 / 123.029 ,0.302 / 171.178 
4.115 GHz,0.294 / -84.365 ,0.674 / 119.773 ,0.674 / 119.773 ,0.293 / 167.397 
4.120 GHz,0.286 / -86.533 ,0.697 / 116.443 ,0.697 / 116.443 ,0.283 / 163.581 
4.125 GHz,0.276 / -88.668 ,0.718 / 113.046 ,0.718 / 113.046 ,0.272 / 159.742 
4.130 GHz,0.265 / -90.750 ,0.736 / 109.587 ,0.736 / 109.587 ,0.259 / 155.898 
4.135 GHz,0.254 / -92.753 ,0.752 / 106.071 ,0.752 / 106.071 ,0.245 / 152.072 
4.141 GHz,0.241 / -94.637 ,0.766 / 102.502 ,0.766 / 102.502 ,0.230 / 148.293 
4.146 GHz,0.228 / -96.346 ,0.778 / 98.884 ,0.778 / 98.884 ,0.213 / 144.604 
4.151 GHz,0.213 / -97.800 ,0.786 / 95.221 ,0.786 / 95.221 ,0.196 / 141.064 
4.156 GHz,0.198 / -98.890 ,0.792 / 91.518 ,0.792 / 91.518 ,0.177 / 137.761 
4.161 GHz,0.182 / -99.459 ,0.795 / 87.781 ,0.795 / 87.781 ,0.158 / 134.828 
4.167 GHz,0.165 / -99.291 ,0.795 / 84.014 ,0.795 / 84.014 ,0.138 / 132.477 
4.174 GHz,0.143 / -97.390 ,0.790 / 78.957 ,0.790 / 78.957 ,0.111 / 130.901 
4.181 GHz,0.123 / -92.681 ,0.780 / 73.878 ,0.780 / 73.878 ,0.084 / 132.756 
4.187 GHz,0.108 / -84.186 ,0.764 / 68.801 ,0.764 / 68.801 ,0.061 / 142.004 
4.194 GHz,0.100 / -72.021 ,0.742 / 63.754 ,0.742 / 63.754 ,0.047 / 164.914 
4.199 GHz,0.101 / -63.632 ,0.725 / 60.629 ,0.725 / 60.629 ,0.047 / -176.048 
4.203 GHz,0.105 / -55.792 ,0.707 / 57.534 ,0.707 / 57.534 ,0.054 / -160.625 
4.207 GHz,0.113 / -49.245 ,0.686 / 54.480 ,0.686 / 54.480 ,0.065 / -151.198 
4.212 GHz,0.124 / -44.283 ,0.664 / 51.473 ,0.664 / 51.473 ,0.079 / -146.354 
4.216 GHz,0.137 / -40.845 ,0.640 / 48.524 ,0.640 / 48.524 ,0.093 / -144.377 
4.220 GHz,0.151 / -38.712 ,0.614 / 45.644 ,0.614 / 45.644 ,0.107 / -144.145 
4.225 GHz,0.166 / -37.637 ,0.587 / 42.846 ,0.587 / 42.846 ,0.121 / -144.995 
4.229 GHz,0.181 / -37.401 ,0.558 / 40.151 ,0.558 / 40.151 ,0.134 / -146.541 
4.234 GHz,0.196 / -37.825 ,0.528 / 37.583 ,0.528 / 37.583 ,0.147 / -148.546 
4.238 GHz,0.211 / -38.765 ,0.497 / 35.175 ,0.497 / 35.175 ,0.159 / -150.865 
4.242 GHz,0.226 / -40.105 ,0.465 / 32.967 ,0.465 / 32.967 ,0.170 / -153.405 
4.247 GHz,0.239 / -41.748 ,0.432 / 31.011 ,0.432 / 31.011 ,0.180 / -156.099 
4.251 GHz,0.252 / -43.614 ,0.398 / 29.369 ,0.398 / 29.369 ,0.190 / -158.903 
4.255 GHz,0.264 / -45.637 ,0.365 / 28.121 ,0.365 / 28.121 ,0.199 / -161.780 
4.260 GHz,0.275 / -47.763 ,0.332 / 27.364 ,0.332 / 27.364 ,0.207 / -164.700 
4.264 GHz,0.284 / -49.950 ,0.299 / 27.228 ,0.299 / 27.228 ,0.214 / -167.636 
4.268 GHz,0.293 / -52.167 ,0.267 / 27.885 ,0.267 / 27.885 ,0.220 / -170.567 
4.273 GHz,0.301 / -54.394 ,0.237 / 29.572 ,0.237 / 29.572 ,0.225 / -173.476 
4.277 GHz,0.307 / -56.615 ,0.209 / 32.621 ,0.209 / 32.621 ,0.230 / -176.348 
4.281 GHz,0.313 / -58.824 ,0.184 / 37.457 ,0.184 / 37.457 ,0.234 / -179.175 
4.286 GHz,0.318 / -61.015 ,0.163 / 44.535 ,0.163 / 44.535 ,0.238 / 178.051 
4.290 GHz,0.322 / -63.190 ,0.149 / 54.050 ,0.149 / 54.050 ,0.241 / 175.331 
4.294 GHz,0.326 / -65.346 ,0.143 / 65.421 ,0.143 / 65.421 ,0.243 / 172.666 
4.299 GHz,0.329 / -67.487 ,0.147 / 77.052 ,0.147 / 77.052 ,0.246 / 170.051 
4.303 GHz,0.331 / -69.611 ,0.160 / 87.135 ,0.160 / 87.135 ,0.248 / 167.479 
4.307 GHz,0.332 / -71.717 ,0.180 / 94.730 ,0.180 / 94.730 ,0.249 / 164.939 
4.312 GHz,0.333 / -73.805 ,0.205 / 99.857 ,0.205 / 99.857 ,0.251 / 162.416 
4.316 GHz,0.333 / -75.869 ,0.233 / 102.974 ,0.233 / 102.974 ,0.252 / 159.895 
4.320 GHz,0.332 / -77.907 ,0.263 / 104.584 ,0.263 / 104.584 ,0.254 / 157.358 
4.325 GHz,0.331 / -79.911 ,0.294 / 105.102 ,0.294 / 105.102 ,0.255 / 154.787 
4.329 GHz,0.329 / -81.877 ,0.325 / 104.836 ,0.325 / 104.836 ,0.256 / 152.166 
4.333 GHz,0.327 / -83.800 ,0.356 / 104.008 ,0.356 / 104.008 ,0.257 / 149.480 
4.338 GHz,0.324 / -85.796 ,0.389 / 102.677 ,0.389 / 102.677 ,0.258 / 146.532 
4.343 GHz,0.320 / -87.733 ,0.421 / 101.009 ,0.421 / 101.009 ,0.259 / 143.487 
4.347 GHz,0.316 / -89.608 ,0.452 / 99.088 ,0.452 / 99.088 ,0.259 / 140.339 
4.352 GHz,0.312 / -91.421 ,0.482 / 96.969 ,0.482 / 96.969 ,0.259 / 137.083 
4.356 GHz,0.307 / -93.176 ,0.511 / 94.688 ,0.511 / 94.688 ,0.258 / 133.719 
4.361 GHz,0.302 / -94.880 ,0.540 / 92.268 ,0.540 / 92.268 ,0.257 / 130.246 
4.366 GHz,0.297 / -96.544 ,0.567 / 89.729 ,0.567 / 89.729 ,0.255 / 126.667 
4.370 GHz,0.292 / -98.179 ,0.594 / 87.084 ,0.594 / 87.084 ,0.253 / 122.983 
4.375 GHz,0.287 / -99.801 ,0.619 / 84.347 ,0.619 / 84.347 ,0.249 / 119.197 
4.380 GHz,0.281 / -101.421 ,0.642 / 81.528 ,0.642 / 81.528 ,0.245 / 115.312 
4.384 GHz,0.276 / -103.051 ,0.664 / 78.636 ,0.664 / 78.636 ,0.240 / 111.328 
4.389 GHz,0.269 / -104.698 ,0.685 / 75.682 ,0.685 / 75.682 ,0.234 / 107.248 
4.394 GHz,0.263 / -106.363 ,0.704 / 72.673 ,0.704 / 72.673 ,0.227 / 103.072 
4.398 GHz,0.256 / -108.045 ,0.721 / 69.617 ,0.721 / 69.617 ,0.220 / 98.800 
4.403 GHz,0.248 / -109.733 ,0.736 / 66.519 ,0.736 / 66.519 ,0.211 / 94.431 
4.407 GHz,0.240 / -111.411 ,0.749 / 63.386 ,0.749 / 63.386 ,0.202 / 89.962 
4.412 GHz,0.231 / -113.053 ,0.760 / 60.220 ,0.760 / 60.220 ,0.192 / 85.391 
4.417 GHz,0.221 / -114.624 ,0.769 / 57.027 ,0.769 / 57.027 ,0.181 / 80.712 
4.421 GHz,0.211 / -116.076 ,0.776 / 53.808 ,0.776 / 53.808 ,0.169 / 75.920 
4.426 GHz,0.199 / -117.345 ,0.781 / 50.568 ,0.781 / 50.568 ,0.156 / 71.004 
4.431 GHz,0.188 / -118.349 ,0.784 / 47.308 ,0.784 / 47.308 ,0.142 / 65.952 
4.435 GHz,0.175 / -118.977 ,0.784 / 44.032 ,0.784 / 44.032 ,0.128 / 60.742 
4.440 GHz,0.162 / -119.083 ,0.782 / 40.744 ,0.782 / 40.744 ,0.113 / 55.341 
4.444 GHz,0.149 / -118.484 ,0.777 / 37.449 ,0.777 / 37.449 ,0.097 / 49.691 
4.449 GHz,0.137 / -116.955 ,0.770 / 34.153 ,0.770 / 34.153 ,0.081 / 43.685 
4.454 GHz,0.125 / -114.250 ,0.761 / 30.865 ,0.761 / 30.865 ,0.064 / 37.100 
