freq	S(1,1)
4.00000000000000000E9	2.83750270560086504E-1 / -2.86690874503479787E1
4.00347222225000010E9	2.92039462814507500E-1 / -3.06997356422397694E1
4.00694444450000020E9	2.99611005632569816E-1 / -3.27286737321914023E1
4.01041666675000030E9	3.06472955278646619E-1 / -3.47488348817137682E1
4.01388888900000040E9	3.12638742506744771E-1 / -3.67540757347664027E1
4.01736111124999873E9	3.18127094819948608E-1 / -3.87391788669014892E1
4.02083333350000061E9	3.22961464600136816E-1 / -4.06998598704609371E1
4.02430555574999982E9	3.27169131541400926E-1 / -4.26327545822604481E1
4.02777777799999903E9	3.30780144482985250E-1 / -4.45353794376824474E1
4.03125000018749979E9	3.33826238999401381E-1 / -4.64060675381992205E1
4.03472222237500056E9	3.36339829122112421E-1 / -4.82438877004903155E1
4.03819444456249954E9	3.38353131872173707E-1 / -5.00485545595413672E1
4.04166666675000030E9	3.39897450011725866E-1 / -5.18203378762823341E1
4.04513888893750018E9	3.41002610275678197E-1 / -5.35599769397569681E1
4.04861111112500005E9	3.41696536495049319E-1 / -5.52686038111832456E1
4.05208333331249992E9	3.42004928132312580E-1 / -5.69476766560445036E1
4.05555555549999980E9	3.41951014419177257E-1 / -5.85989222590933867E1
4.06249999987499955E9	3.40835709393413966E-1 / -6.18258812769664345E1
4.06944444425000018E9	3.38480578961787559E-1 / -6.49668068311917324E1
4.07638888862500082E9	3.34967415400303370E-1 / -6.80402142356623774E1
4.08333333299999968E9	3.30329484444422761E-1 / -7.10641101253118723E1
4.08854166637500072E9	3.26107281208531230E-1 / -7.33091110587394201E1
4.09374999975000087E9	3.21226988215395748E-1 / -7.55403501558212565E1
4.09895833312499924E9	3.15659108226809826E-1 / -7.77613388915669113E1
4.10416666649999939E9	3.09366403464080708E-1 / -7.99735622679589842E1
4.10937499987500043E9	3.02305999991942542E-1 / -8.21760933570403118E1
4.11458333324999970E9	2.94431313724447374E-1 / -8.43650859589905977E1
4.11979166662499985E9	2.85693997181985582E-1 / -8.65330275934145909E1
4.12500000000000000E9	2.76046332267705274E-1 / -8.86676187568191132E1
4.13020833324999970E9	2.65444635399347151E-1 / -9.07501316448565731E1
4.13541666649999939E9	2.53854263023919069E-1 / -9.27530768770700043E1
4.14062499974999998E9	2.41256740423398774E-1 / -9.46369463481770268E1
4.14583333299999968E9	2.27659458517499758E-1 / -9.63456821040752587E1
4.15104166625000026E9	2.13108447109113097E-1 / -9.78003225729424130E1
4.15624999949999996E9	1.97705091747841122E-1 / -9.88900114586197887E1
4.16145833274999966E9	1.81628488807840549E-1 / -9.94593341292397781E1
4.16666666599999935E9	1.65166527400647167E-1 / -9.92912373684688987E1
4.17361111049999955E9	1.43410124226349378E-1 / -9.73903129171541160E1
4.18055555499999976E9	1.23456869493414922E-1 / -9.26812904150775019E1
4.18749999949999996E9	1.07953970463930826E-1 / -8.41855381638628053E1
4.19444444400000016E9	1.00305797931696983E-1 / -7.20211639249488389E1
4.19878472175000006E9	1.00720742772995964E-1 / -6.36324939399614031E1
4.20312499949999996E9	1.05218762287713874E-1 / -5.57924838559210734E1
4.20746527724999986E9	1.13270934353193997E-1 / -4.92454549455307866E1
4.21180555499999976E9	1.24086714531475772E-1 / -4.42832947736449256E1
4.21614583274999966E9	1.36874177276738607E-1 / -4.08454039887330289E1
4.22048611049999955E9	1.50966678101625340E-1 / -3.87121991165778478E1
4.22482638824999945E9	1.65837866879659934E-1 / -3.76368605472487783E1
4.22916666599999935E9	1.81070278906762661E-1 / -3.74006311275719217E1
4.23350694374999925E9	1.96319749941856569E-1 / -3.78246416408727137E1
4.23784722150000004E9	2.11292212959345349E-1 / -3.87650951492071760E1
4.24218749924999994E9	2.25735046033291731E-1 / -4.01051368002555719E1
4.24652777699999984E9	2.39438647690338646E-1 / -4.17482760879944159E1
4.25086805474999974E9	2.52241972198897280E-1 / -4.36142669884480316E1
4.25520833249999963E9	2.64036598750450402E-1 / -4.56368669654794346E1
4.25954861025000042E9	2.74766174307414435E-1 / -4.77625907830276830E1
4.26388888799999943E9	2.84420540804647670E-1 / -4.99497500573053088E1
4.26822916581249956E9	2.93025707149468051E-1 / -5.21673669997618372E1
4.27256944362500057E9	3.00631744803534451E-1 / -5.43938116380589420E1
4.27690972143750070E9	3.07300768401388380E-1 / -5.66151882688997254E1
4.28124999924999994E9	3.13096690271664535E-1 / -5.88235893989453640E1
4.28559027706250006E9	3.18077732620541731E-1 / -6.10153649994319913E1
4.28993055487500019E9	3.22291982249047315E-1 / -6.31895404256174231E1
4.29427083268750032E9	3.25775733895880260E-1 / -6.53464769813313051E1
4.29861111049999955E9	3.28554052218878123E-1 / -6.74868201206264207E1
4.30295138831250057E9	3.30642889649472904E-1 / -6.96107353545736895E1
4.30729166612500070E9	3.32052178875837667E-1 / -7.17174033663681332E1
4.31163194393750082E9	3.32789474708283350E-1 / -7.38047422098580874E1
4.31597222175000006E9	3.32863810659699677E-1 / -7.58693430710959671E1
4.32031249956250019E9	3.32289356709423789E-1 / -7.79066247916925469E1
4.32465277737500031E9	3.31088287547671944E-1 / -7.99111975609522052E1
4.32899305518749955E9	3.29292279910961438E-1 / -8.18773688073070538E1
4.33333333299999968E9	3.26942479162534561E-1 / -8.37996732462153204E1
4.33796296268750048E9	3.23881513238425223E-1 / -8.57964194098648214E1
4.34259259237500039E9	3.20315278970975115E-1 / -8.77334339064086599E1
4.34722222206250031E9	3.16318186614652275E-1 / -8.96083360326849387E1
4.35185185175000022E9	3.11966663314734660E-1 / -9.14214487474171555E1
4.35648148143750014E9	3.07333323091735267E-1 / -9.31764028064276850E1
4.36111111112500005E9	3.02479683641666552E-1 / -9.48803835240340376E1
4.36574074081249996E9	2.97448885383222450E-1 / -9.65438075961968778E1
4.37037037050000077E9	2.92260120912465782E-1 / -9.81794012162017182E1
4.37500000018749979E9	2.86905965311099109E-1 / -9.98008253239392040E1
4.37962962987499971E9	2.81352965833247026E-1 / -1.01421084713722576E2
4.38425925956249962E9	2.75545116944821711E-1 / -1.03050956247496117E2
4.38888888924999954E9	2.69409407354838226E-1 / -1.04697604274704203E2
4.39351851893749945E9	2.62862497089961344E-1 / -1.06363453345677827E2
4.39814814862499937E9	2.55817695239958987E-1 / -1.08045288716748633E2
4.40277777831250017E9	2.48191668368170903E-1 / -1.09733472358487960E2
4.40740740800000008E9	2.39910629746624160E-1 / -1.11411102615246738E2
4.41203703762499977E9	2.30916078178917372E-1 / -1.13052906123420671E2
4.41666666725000034E9	2.21170435503033014E-1 / -1.14623623300966515E2
4.42129629687500003E9	2.10663163625207250E-1 / -1.16075626506630503E2
4.42592592650000061E9	1.99418118823406454E-1 / -1.17345497053538717E2
4.43055555612500029E9	1.87503038308413505E-1 / -1.18349309487187115E2
4.43518518574999909E9	1.75042149002550973E-1 / -1.18976517628281409E2
4.43981481537500056E9	1.62232907531833082E-1 / -1.19082838994985685E2
4.44444444500000024E9	1.49367612723275589E-1 / -1.18483950407005501E2
4.44907407462499904E9	1.36859327757691540E-1 / -1.16955287248571049E2
4.45370370424999962E9	1.25267183504644719E-1 / -1.14250423654795585E2
4.45833333387499930E9	1.15304874413449321E-1 / -1.10160873355185496E2
4.46296296349999988E9	1.07795908395882956E-1 / -1.04640723759409116E2
4.46527777831250017E9	1.05215036093987391E-1 / -1.01416026376126522E2
4.46759259312499957E9	1.03526202716373117E-1 / -9.79719695830677395E1
4.46990740793749985E9	1.02779872349933887E-1 / -9.44067253837617315E1
4.47222222275000014E9	1.02992314522058503E-1 / -9.08328757273167220E1
4.47453703756250043E9	1.04142632730195706E-1 / -8.73643476290911636E1
4.47685185237499983E9	1.06174677139860485E-1 / -8.41028363344205054E1
4.47916666718750012E9	1.09003364170314554E-1 / -8.11273082938581958E1
4.48148148200000040E9	1.12523941628659618E-1 / -7.84887535973660988E1
4.48379629681249892E9	1.16622471773523317E-1 / -7.62103487670592195E1
4.48611111162500009E9	1.21185978310348408E-1 / -7.42917327859269072E1
4.48842592643750038E9	1.26110881748927284E-1 / -7.27155536519653189E1
4.49074074124999978E9	1.31308508051580386E-1 / -7.14545142925820720E1
4.49305555606249918E9	1.36706956632743482E-1 / -7.04774977364779254E1
4.49537037087499947E9	1.42249603746718734E-1 / -6.97538822376451861E1
4.49768518568749975E9	1.47891555864238611E-1 / -6.92558216196199083E1
4.50000000050000004E9	1.53595788509920195E-1 / -6.89588769101894883E1
4.50462963012499884E9	1.65066593385663696E-1 / -6.88854800326531791E1
4.50925925975000030E9	1.76447344098818171E-1 / -6.93905806427184757E1
4.51388888937499910E9	1.87578172649238506E-1 / -7.03617884028328255E1
4.51851851899999879E9	1.98350186236991410E-1 / -7.17157756713300110E1
4.52314814862499937E9	2.08684348425779342E-1 / -7.33970613198886923E1
4.52777777824999994E9	2.18500386491674892E-1 / -7.53731555716752855E1
4.53240740787500052E9	2.27687731753156442E-1 / -7.76270057039950778E1
4.53703703750000109E9	2.36086312274667476E-1 / -8.01485001009053555E1
4.54166666712500078E9	2.43482166588866056E-1 / -8.29264746762616589E1
4.54629629674999958E9	2.49619934465337012E-1 / -8.59424882149143166E1
4.55092592637499926E9	2.54229936651958610E-1 / -8.91672826894872728E1
4.55555555599999984E9	2.57063240152843164E-1 / -9.25601571614848417E1
4.56134259300000089E9	2.57818473910527990E-1 / -9.69601927554350951E1
4.56712963000000105E9	2.55303335716282209E-1 / -1.01431919121543790E2
4.57291666700000032E9	2.49548034189931123E-1 / -1.05858121891662438E2
4.57870370400000049E9	2.40794826120217964E-1 / -1.10124377320007105E2
4.58449074099999976E9	2.29448220403546221E-1 / -1.14123765796832899E2
4.59027777799999903E9	2.16009919634770675E-1 / -1.17758070068321663E2
4.59606481500000008E9	2.01013926344400451E-1 / -1.20935886580016905E2
4.60185185200000024E9	1.84971457028867170E-1 / -1.23567401597670434E2
4.60763888899999952E9	1.68331696073466985E-1 / -1.25554047093405252E2
4.61342592600000057E9	1.51464588668184863E-1 / -1.26769037867163337E2
4.61921296299999984E9	1.34675478771746993E-1 / -1.27022234538697587E2
4.62500000000000000E9	1.18267270888206366E-1 / -1.26001273469304120E2
4.63078703700000016E9	1.02672497895780790E-1 / -1.23187014549013329E2
4.63657407399999943E9	8.86791215194985227E-2 / -1.17783977439091458E2
4.64236111100000048E9	7.77258189420342127E-2 / -1.08877159046985450E2
4.64814814799999976E9	7.19759907734915849E-2 / -9.63456585148670719E1
4.65277777774999901E9	7.25078471817745207E-2 / -8.50931034644875517E1
4.65740740750000093E9	7.78633768021184203E-2 / -7.48349930812767816E1
4.66203703725000018E9	8.72862059271663426E-2 / -6.69613909900673843E1
4.66666666700000032E9	9.95930025468869573E-2 / -6.17418239444458727E1
4.67013888918750020E9	1.10035331840431327E-1 / -5.93375581493163562E1
4.67361111137500007E9	1.21082217362172262E-1 / -5.79669378823629344E1
4.67708333356249906E9	1.32423530346361473E-1 / -5.74100176967326714E1
4.68055555574999893E9	1.43810955313544508E-1 / -5.74821079007863744E1
4.68402777793749969E9	1.55046329426144869E-1 / -5.80343504284929246E1
4.68750000012500045E9	1.65973025873106139E-1 / -5.89484845205925367E1
4.69097222231250033E9	1.76469979656132869E-1 / -6.01307493297019047E1
4.69444444450000020E9	1.86447366862620734E-1 / -6.15065734358702976E1
4.69791666668750008E9	1.95843098584140152E-1 / -6.30163669620752298E1
4.70138888887499995E9	2.04619624500918817E-1 / -6.46122838050471948E1
4.70486111106249982E9	2.12760859225708465E-1 / -6.62557249842514828E1
4.70833333324999881E9	2.20269285037719387E-1 / -6.79153804125010652E1
4.71180555543749957E9	2.27163435954872162E-1 / -6.95656668772626841E1
4.71527777762499944E9	2.33476032784826915E-1 / -7.11854846026333110E1
4.71874999981250021E9	2.39253015780394707E-1 / -7.27572755135880822E1
4.72222222200000097E9	2.44553596227103354E-1 / -7.42664208715191343E1
4.72511574053124939E9	2.48659338058320678E-1 / -7.54675417374003388E1
