%"freq
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [freq]
%Num. Points : [50]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [50]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [50]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [50]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [50]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg"
4.000 GHz,0.242 / -175.413 ,0.485 / 42.268 ,0.485 / 42.268 ,0.168 / 139.684 
4.041 GHz,0.156 / -175.515 ,0.493 / -23.149 ,0.493 / -23.149 ,0.028 / 155.292 
4.082 GHz,0.120 / -170.915 ,0.495 / -88.574 ,0.495 / -88.574 ,0.074 / -142.629 
4.122 GHz,0.107 / -127.539 ,0.492 / -152.853 ,0.492 / -152.853 ,0.119 / -131.315 
4.163 GHz,0.224 / -130.763 ,0.479 / 144.608 ,0.479 / 144.608 ,0.201 / -154.946 
4.204 GHz,0.249 / -156.490 ,0.473 / 82.733 ,0.473 / 82.733 ,0.179 / 165.843 
4.245 GHz,0.190 / -161.543 ,0.474 / 18.017 ,0.474 / 18.017 ,0.058 / 170.697 
4.286 GHz,0.228 / -155.098 ,0.464 / -47.950 ,0.464 / -47.950 ,0.139 / -162.070 
4.327 GHz,0.256 / -171.468 ,0.460 / -112.079 ,0.460 / -112.079 ,0.125 / 142.788 
4.367 GHz,0.236 / 171.856 ,0.461 / -175.261 ,0.461 / -175.261 ,0.069 / -7.198 
4.408 GHz,0.191 / 143.651 ,0.451 / 122.443 ,0.451 / 122.443 ,0.207 / -87.147 
4.449 GHz,0.081 / 52.886 ,0.431 / 60.154 ,0.431 / 60.154 ,0.300 / -123.051 
4.490 GHz,0.230 / -72.785 ,0.400 / -2.500 ,0.400 / -2.500 ,0.366 / -152.598 
4.531 GHz,0.379 / -121.674 ,0.381 / -63.257 ,0.381 / -63.257 ,0.370 / 172.054 
4.571 GHz,0.388 / -155.935 ,0.399 / -123.470 ,0.399 / -123.470 ,0.251 / 130.225 
4.612 GHz,0.312 / -173.800 ,0.435 / 174.355 ,0.435 / 174.355 ,0.035 / 94.737 
4.653 GHz,0.277 / -179.253 ,0.453 / 112.568 ,0.453 / 112.568 ,0.126 / -153.628 
4.694 GHz,0.244 / 172.464 ,0.458 / 52.126 ,0.458 / 52.126 ,0.111 / 168.226 
4.735 GHz,0.211 / 173.427 ,0.454 / -9.749 ,0.454 / -9.749 ,0.065 / -131.260 
4.776 GHz,0.210 / 166.941 ,0.443 / -73.137 ,0.443 / -73.137 ,0.159 / -143.156 
4.816 GHz,0.140 / 159.322 ,0.443 / -137.558 ,0.443 / -137.558 ,0.143 / -161.796 
4.857 GHz,0.129 / -166.119 ,0.449 / 158.217 ,0.449 / 158.217 ,0.152 / -148.889 
4.898 GHz,0.172 / -172.748 ,0.454 / 96.746 ,0.454 / 96.746 ,0.186 / -162.053 
4.939 GHz,0.130 / -167.146 ,0.459 / 36.354 ,0.459 / 36.354 ,0.148 / -162.732 
4.980 GHz,0.213 / -146.949 ,0.444 / -24.594 ,0.444 / -24.594 ,0.216 / -152.825 
5.020 GHz,0.304 / -169.709 ,0.420 / -85.131 ,0.420 / -85.131 ,0.267 / 178.592 
5.061 GHz,0.282 / 165.964 ,0.415 / -147.556 ,0.415 / -147.556 ,0.162 / 144.366 
5.102 GHz,0.227 / 151.659 ,0.419 / 147.306 ,0.419 / 147.306 ,0.068 / -131.285 
5.143 GHz,0.162 / 125.654 ,0.422 / 83.516 ,0.422 / 83.516 ,0.215 / -138.766 
5.184 GHz,0.039 / -4.604 ,0.420 / 22.166 ,0.420 / 22.166 ,0.293 / -159.433 
5.224 GHz,0.219 / -106.586 ,0.404 / -37.095 ,0.404 / -37.095 ,0.342 / 176.478 
5.265 GHz,0.332 / -143.922 ,0.390 / -95.472 ,0.390 / -95.472 ,0.298 / 141.962 
5.306 GHz,0.345 / -167.512 ,0.387 / -157.563 ,0.387 / -157.563 ,0.099 / 99.707 
5.347 GHz,0.350 / 177.226 ,0.380 / 136.796 ,0.380 / 136.796 ,0.157 / -133.228 
5.388 GHz,0.325 / 156.431 ,0.382 / 72.760 ,0.382 / 72.760 ,0.261 / -175.535 
5.429 GHz,0.225 / 142.696 ,0.404 / 9.148 ,0.404 / 9.148 ,0.175 / 161.085 
5.469 GHz,0.192 / 147.046 ,0.409 / -55.086 ,0.409 / -55.086 ,0.167 / -162.034 
5.510 GHz,0.152 / 116.773 ,0.394 / -118.088 ,0.394 / -118.088 ,0.283 / -170.801 
5.551 GHz,0.061 / -43.400 ,0.374 / 178.192 ,0.374 / 178.192 ,0.341 / 170.119 
5.592 GHz,0.251 / -122.494 ,0.355 / 114.117 ,0.355 / 114.117 ,0.358 / 146.529 
5.633 GHz,0.321 / -160.681 ,0.361 / 50.933 ,0.361 / 50.933 ,0.273 / 116.640 
5.673 GHz,0.284 / -179.839 ,0.381 / -13.400 ,0.381 / -13.400 ,0.090 / 114.008 
5.714 GHz,0.267 / 172.263 ,0.386 / -77.662 ,0.386 / -77.662 ,0.161 / 171.018 
5.755 GHz,0.211 / 160.551 ,0.382 / -141.489 ,0.382 / -141.489 ,0.195 / 149.919 
5.796 GHz,0.159 / -175.066 ,0.372 / 151.496 ,0.372 / 151.496 ,0.173 / 152.158 
5.837 GHz,0.239 / -171.299 ,0.358 / 82.801 ,0.358 / 82.801 ,0.202 / 143.786 
5.878 GHz,0.235 / -179.148 ,0.358 / 13.967 ,0.358 / 13.967 ,0.132 / 136.730 
5.918 GHz,0.253 / -172.803 ,0.355 / -54.579 ,0.355 / -54.579 ,0.170 / 173.893 
5.959 GHz,0.263 / -172.968 ,0.332 / -122.454 ,0.332 / -122.454 ,0.243 / 165.407 
6.000 GHz,0.374 / -158.654 ,0.258 / 167.476 ,0.258 / 167.476 ,0.360 / 163.663 
