%"freq
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg"
4.000 GHz,0.063 / -51.633 ,0.682 / -48.937 ,0.682 / -48.937 ,0.058 / 150.757 
4.003 GHz,0.062 / -53.435 ,0.682 / -54.011 ,0.682 / -54.011 ,0.054 / 147.068 
4.007 GHz,0.060 / -55.071 ,0.682 / -59.093 ,0.682 / -59.093 ,0.050 / 143.246 
4.010 GHz,0.058 / -56.435 ,0.682 / -64.178 ,0.682 / -64.178 ,0.046 / 139.298 
4.014 GHz,0.056 / -57.394 ,0.683 / -69.267 ,0.683 / -69.267 ,0.041 / 135.235 
4.017 GHz,0.053 / -57.795 ,0.683 / -74.357 ,0.683 / -74.357 ,0.037 / 131.078 
4.021 GHz,0.051 / -57.476 ,0.683 / -79.447 ,0.683 / -79.447 ,0.032 / 126.863 
4.024 GHz,0.048 / -56.288 ,0.683 / -84.536 ,0.683 / -84.536 ,0.026 / 122.654 
4.028 GHz,0.046 / -54.140 ,0.683 / -89.622 ,0.683 / -89.622 ,0.021 / 118.579 
4.031 GHz,0.044 / -51.060 ,0.683 / -94.705 ,0.683 / -94.705 ,0.015 / 114.957 
4.035 GHz,0.043 / -47.235 ,0.684 / -99.784 ,0.684 / -99.784 ,0.009 / 112.881 
4.038 GHz,0.043 / -43.014 ,0.684 / -104.858 ,0.684 / -104.858 ,0.004 / 120.577 
4.042 GHz,0.043 / -38.827 ,0.684 / -109.927 ,0.684 / -109.927 ,0.003 / -110.077 
4.045 GHz,0.045 / -35.058 ,0.684 / -114.991 ,0.684 / -114.991 ,0.009 / -98.389 
4.049 GHz,0.047 / -31.957 ,0.684 / -120.049 ,0.684 / -120.049 ,0.014 / -100.337 
4.052 GHz,0.050 / -29.620 ,0.684 / -125.101 ,0.684 / -125.101 ,0.020 / -104.233 
4.056 GHz,0.053 / -28.030 ,0.684 / -130.147 ,0.684 / -130.147 ,0.026 / -108.772 
4.059 GHz,0.056 / -27.107 ,0.684 / -135.187 ,0.684 / -135.187 ,0.031 / -113.600 
4.062 GHz,0.060 / -26.752 ,0.683 / -140.222 ,0.683 / -140.222 ,0.036 / -118.577 
4.066 GHz,0.063 / -26.866 ,0.683 / -145.252 ,0.683 / -145.252 ,0.041 / -123.638 
4.069 GHz,0.067 / -27.361 ,0.683 / -150.277 ,0.683 / -150.277 ,0.045 / -128.748 
4.073 GHz,0.070 / -28.167 ,0.683 / -155.297 ,0.683 / -155.297 ,0.049 / -133.891 
4.076 GHz,0.073 / -29.224 ,0.683 / -160.314 ,0.683 / -160.314 ,0.053 / -139.056 
4.080 GHz,0.076 / -30.488 ,0.683 / -165.328 ,0.683 / -165.328 ,0.056 / -144.243 
4.083 GHz,0.079 / -31.920 ,0.682 / -170.338 ,0.682 / -170.338 ,0.059 / -149.452 
4.089 GHz,0.084 / -34.320 ,0.682 / -177.851 ,0.682 / -177.851 ,0.063 / -157.321 
4.094 GHz,0.087 / -36.952 ,0.682 / 174.638 ,0.682 / 174.638 ,0.066 / -165.277 
4.099 GHz,0.090 / -39.749 ,0.682 / 167.126 ,0.682 / 167.126 ,0.068 / -173.355 
4.104 GHz,0.093 / -42.650 ,0.681 / 159.612 ,0.681 / 159.612 ,0.069 / 178.408 
4.109 GHz,0.095 / -45.598 ,0.681 / 152.093 ,0.681 / 152.093 ,0.070 / 169.970 
4.115 GHz,0.096 / -48.529 ,0.681 / 144.567 ,0.681 / 144.567 ,0.069 / 161.287 
4.120 GHz,0.096 / -51.376 ,0.680 / 137.032 ,0.680 / 137.032 ,0.068 / 152.310 
4.125 GHz,0.096 / -54.069 ,0.680 / 129.485 ,0.680 / 129.485 ,0.066 / 142.985 
4.130 GHz,0.095 / -56.530 ,0.680 / 121.926 ,0.680 / 121.926 ,0.064 / 133.247 
4.135 GHz,0.094 / -58.683 ,0.679 / 114.352 ,0.679 / 114.352 ,0.060 / 123.016 
4.141 GHz,0.092 / -60.455 ,0.679 / 106.764 ,0.679 / 106.764 ,0.056 / 112.185 
4.146 GHz,0.090 / -61.783 ,0.678 / 99.159 ,0.678 / 99.159 ,0.051 / 100.598 
4.151 GHz,0.088 / -62.623 ,0.678 / 91.538 ,0.678 / 91.538 ,0.046 / 88.025 
4.156 GHz,0.085 / -62.959 ,0.677 / 83.901 ,0.677 / 83.901 ,0.041 / 74.108 
4.161 GHz,0.084 / -62.811 ,0.677 / 76.247 ,0.677 / 76.247 ,0.036 / 58.306 
4.167 GHz,0.082 / -62.245 ,0.676 / 68.577 ,0.676 / 68.577 ,0.031 / 39.849 
4.171 GHz,0.082 / -61.474 ,0.675 / 61.745 ,0.675 / 61.745 ,0.027 / 20.535 
4.176 GHz,0.082 / -60.554 ,0.674 / 54.903 ,0.674 / 54.903 ,0.025 / -1.693 
4.181 GHz,0.082 / -59.591 ,0.674 / 48.049 ,0.674 / 48.049 ,0.024 / -25.781 
4.185 GHz,0.083 / -58.690 ,0.673 / 41.184 ,0.673 / 41.184 ,0.025 / -49.485 
4.190 GHz,0.085 / -57.944 ,0.672 / 34.311 ,0.672 / 34.311 ,0.028 / -70.869 
4.194 GHz,0.087 / -57.423 ,0.671 / 27.428 ,0.671 / 27.428 ,0.031 / -89.388 
4.199 GHz,0.089 / -57.173 ,0.670 / 20.538 ,0.670 / 20.538 ,0.036 / -105.443 
4.204 GHz,0.092 / -57.216 ,0.669 / 13.642 ,0.669 / 13.642 ,0.040 / -119.664 
4.208 GHz,0.095 / -57.555 ,0.668 / 6.739 ,0.668 / 6.739 ,0.045 / -132.594 
4.213 GHz,0.098 / -58.180 ,0.667 / -0.168 ,0.667 / -0.168 ,0.049 / -144.632 
4.218 GHz,0.100 / -59.065 ,0.666 / -7.079 ,0.666 / -7.079 ,0.053 / -156.056 
4.222 GHz,0.103 / -60.184 ,0.666 / -13.994 ,0.666 / -13.994 ,0.057 / -167.062 
4.227 GHz,0.106 / -61.503 ,0.665 / -20.910 ,0.665 / -20.910 ,0.061 / -177.784 
4.231 GHz,0.108 / -62.986 ,0.664 / -27.829 ,0.664 / -27.829 ,0.064 / 171.681 
4.236 GHz,0.110 / -64.600 ,0.663 / -34.748 ,0.663 / -34.748 ,0.067 / 161.266 
4.241 GHz,0.112 / -66.310 ,0.662 / -41.668 ,0.662 / -41.668 ,0.070 / 150.927 
4.245 GHz,0.114 / -68.081 ,0.662 / -48.588 ,0.662 / -48.588 ,0.072 / 140.629 
4.250 GHz,0.115 / -69.883 ,0.661 / -55.507 ,0.661 / -55.507 ,0.073 / 130.352 
4.255 GHz,0.115 / -71.682 ,0.661 / -62.426 ,0.661 / -62.426 ,0.074 / 120.080 
4.259 GHz,0.116 / -73.452 ,0.660 / -69.344 ,0.660 / -69.344 ,0.074 / 109.801 
4.262 GHz,0.116 / -74.316 ,0.660 / -72.802 ,0.660 / -72.802 ,0.074 / 104.655 
4.264 GHz,0.116 / -75.163 ,0.660 / -76.260 ,0.660 / -76.260 ,0.074 / 99.503 
4.266 GHz,0.116 / -75.990 ,0.660 / -79.718 ,0.660 / -79.718 ,0.073 / 94.342 
4.269 GHz,0.115 / -76.792 ,0.660 / -83.175 ,0.660 / -83.175 ,0.073 / 89.170 
4.271 GHz,0.115 / -77.568 ,0.660 / -86.632 ,0.660 / -86.632 ,0.072 / 83.984 
4.273 GHz,0.115 / -78.314 ,0.659 / -90.089 ,0.659 / -90.089 ,0.071 / 78.781 
4.275 GHz,0.114 / -79.028 ,0.659 / -93.545 ,0.659 / -93.545 ,0.071 / 73.557 
4.278 GHz,0.114 / -79.709 ,0.659 / -97.000 ,0.659 / -97.000 ,0.070 / 68.308 
4.282 GHz,0.113 / -80.957 ,0.659 / -103.911 ,0.659 / -103.911 ,0.067 / 57.709 
4.287 GHz,0.112 / -82.045 ,0.659 / -110.819 ,0.659 / -110.819 ,0.065 / 46.927 
4.292 GHz,0.111 / -82.959 ,0.659 / -117.725 ,0.659 / -117.725 ,0.062 / 35.888 
4.296 GHz,0.109 / -83.693 ,0.659 / -124.629 ,0.659 / -124.629 ,0.059 / 24.492 
4.301 GHz,0.108 / -84.244 ,0.659 / -131.531 ,0.659 / -131.531 ,0.055 / 12.606 
4.306 GHz,0.107 / -84.616 ,0.659 / -138.430 ,0.659 / -138.430 ,0.052 / 0.062 
4.310 GHz,0.106 / -84.821 ,0.659 / -145.327 ,0.659 / -145.327 ,0.049 / -13.351 
4.315 GHz,0.106 / -84.876 ,0.659 / -152.222 ,0.659 / -152.222 ,0.045 / -27.882 
4.319 GHz,0.106 / -84.811 ,0.659 / -159.113 ,0.659 / -159.113 ,0.042 / -43.779 
4.324 GHz,0.106 / -84.662 ,0.659 / -166.001 ,0.659 / -166.001 ,0.040 / -61.203 
4.329 GHz,0.106 / -84.471 ,0.659 / -172.886 ,0.659 / -172.886 ,0.039 / -80.067 
4.333 GHz,0.107 / -84.287 ,0.658 / -179.768 ,0.658 / -179.768 ,0.039 / -99.881 
4.337 GHz,0.109 / -84.177 ,0.658 / 174.501 ,0.658 / 174.501 ,0.040 / -116.510 
4.341 GHz,0.110 / -84.137 ,0.658 / 168.772 ,0.658 / 168.772 ,0.043 / -132.682 
4.345 GHz,0.112 / -84.196 ,0.658 / 163.046 ,0.658 / 163.046 ,0.046 / -148.007 
4.349 GHz,0.114 / -84.381 ,0.657 / 157.322 ,0.657 / 157.322 ,0.050 / -162.304 
4.353 GHz,0.117 / -84.712 ,0.657 / 151.602 ,0.657 / 151.602 ,0.055 / -175.560 
4.356 GHz,0.120 / -85.211 ,0.656 / 145.885 ,0.656 / 145.885 ,0.061 / 172.136 
4.360 GHz,0.122 / -85.889 ,0.656 / 140.170 ,0.656 / 140.170 ,0.067 / 160.662 
4.364 GHz,0.126 / -86.758 ,0.655 / 134.458 ,0.655 / 134.458 ,0.073 / 149.893 
4.368 GHz,0.129 / -87.824 ,0.654 / 128.748 ,0.654 / 128.748 ,0.079 / 139.725 
4.372 GHz,0.132 / -89.089 ,0.654 / 123.041 ,0.654 / 123.041 ,0.085 / 130.070 
4.376 GHz,0.136 / -90.551 ,0.653 / 117.336 ,0.653 / 117.336 ,0.090 / 120.863 
4.380 GHz,0.139 / -92.207 ,0.652 / 111.633 ,0.652 / 111.633 ,0.096 / 112.053 
4.383 GHz,0.142 / -94.050 ,0.652 / 105.932 ,0.652 / 105.932 ,0.101 / 103.601 
4.387 GHz,0.145 / -96.071 ,0.651 / 100.231 ,0.651 / 100.231 ,0.105 / 95.478 
4.391 GHz,0.148 / -98.259 ,0.650 / 94.530 ,0.650 / 94.530 ,0.110 / 87.659 
4.395 GHz,0.150 / -100.603 ,0.650 / 88.830 ,0.650 / 88.830 ,0.113 / 80.124 
4.399 GHz,0.153 / -103.090 ,0.649 / 83.129 ,0.649 / 83.129 ,0.116 / 72.853 
4.403 GHz,0.155 / -105.705 ,0.648 / 77.427 ,0.648 / 77.427 ,0.119 / 65.830 
