%"Dk
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [Dk]
%Num. Points : [38]
%Matrix Size : scalar
%Type : Real","freq
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg"
1.001,4.500 GHz,0.021 / -2.671 ,0.992 / -98.591 ,0.992 / -98.591 ,0.021 / -2.671 
1.001,5.000 GHz,0.034 / -14.894 ,0.990 / -109.647 ,0.990 / -109.647 ,0.034 / -14.894 
1.001,5.500 GHz,0.047 / -26.545 ,0.987 / -120.728 ,0.987 / -120.728 ,0.047 / -26.545 
1.001,4.500 GHz,0.021 / -2.671 ,0.992 / -98.591 ,0.992 / -98.591 ,0.021 / -2.671 
1.001,5.000 GHz,0.034 / -14.894 ,0.990 / -109.647 ,0.990 / -109.647 ,0.034 / -14.894 
1.001,5.500 GHz,0.047 / -26.545 ,0.987 / -120.728 ,0.987 / -120.728 ,0.047 / -26.545 
1.001,4.500 GHz,0.021 / -2.671 ,0.992 / -98.591 ,0.992 / -98.591 ,0.021 / -2.671 
1.001,5.000 GHz,0.034 / -14.894 ,0.990 / -109.647 ,0.990 / -109.647 ,0.034 / -14.894 
1.001,5.500 GHz,0.047 / -26.545 ,0.987 / -120.728 ,0.987 / -120.728 ,0.047 / -26.545 
