% Model,MSL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 9 2025, 19:35"
% Table,Table 28 - 
% MUT_Er,Frequency (Hz),S11 (1),S21 (1)
1.00053779988,5.0E9,-0.005348008336485854+0.0025620447073753717i,-0.41676759724894374-0.9085055796390062i
1.00053789020379,5.0E9,-0.005348013186276823+0.002562046944618083i,-0.41676760549784253-0.9085055758395072i
1.00053798052758,5.0E9,-0.005348018069927818+0.002562049277347876i,-0.41676761383862476-0.9085055719630806i
1.00053807085138,5.0E9,-0.005348022935408103+0.0025620515442006803i,-0.4167676221197755-0.9085055681355187i
1.00053816117519,5.0E9,-0.005348027797967525+0.002562053857968591i,-0.4167676303914414-0.9085055642921155i
1.000538251499,5.0E9,-0.005348032648096179+0.0025620561515920805i,-0.4167676387079684-0.9085055604318464i
1.00053834182282,5.0E9,-0.0053480375140186+0.002562058418392751i,-0.4167676469891754-0.9085055566140665i
1.00053843214664,5.0E9,-0.005348042376158624+0.002562060707929996i,-0.4167676553302216-0.9085055527569146i
1.00053852247047,5.0E9,-0.005348047229126252+0.002562063028160841i,-0.41676766361361023-0.9085055489184501i
1.0005386127943,5.0E9,-0.005348052096214672+0.002562065319784458i,-0.41676767191652175-0.9085055450738168i
1.00062812638563,5.0E9,-0.005352870740491333+0.00256433697439734i,-0.4167758953976205-0.908501737753063i
1.0007184583297,5.0E9,-0.005357733302763457+0.002566629441506533i,-0.4167841939164495-0.9084978955631614i
1.00080879571271,5.0E9,-0.005362596054574631+0.00256892210392465i,-0.4167924928501082-0.9084940530820227i
1.00089913853514,5.0E9,-0.005367458977713291+0.0025712149307063796i,-0.41680079210230947-0.9084902103158019i
1.00098948679748,5.0E9,-0.005372322041833755+0.0025735080237271543i,-0.41680909173637215-0.9084863672212764i
1.00107984050023,5.0E9,-0.005377185323926881+0.0025758012155559077i,-0.4168173917721347-0.9084825238753543i
1.00117019964387,5.0E9,-0.005382048746773904+0.002578094642625206i,-0.41682569214342635-0.9084786802186675i
1.0012605642289,5.0E9,-0.005386912335660021+0.0025803883040366312i,-0.4168339928535019-0.9084748362547981i
1.00135093425582,5.0E9,-0.005391776109980562+0.0025826820598173258i,-0.41684229398420236-0.9084709920179032i
1.0014413097251,5.0E9,-0.005396640092908811+0.0025849757249565676i,-0.4168505957943146-0.9084671472956405i
1.00234536385658,5.0E9,-0.0054452889053537845+0.002607926139444945i,-0.4169336305280987-0.9084286857891428i
1.00324996276642,5.0E9,-0.005493954814656377+0.002630895501164857i,-0.41701670185366346-0.9083901949697128i
1.00415510694717,5.0E9,-0.0055426377974823636+0.002653883889134498i,-0.4170998097428412-0.9083516747425703i
1.00506079689202,5.0E9,-0.005591337940475683+0.0026768913170186377i,-0.4171829542523917-0.9083131251123643i
1.00596703309471,5.0E9,-0.005640055178289494+0.0026999177999543723i,-0.41726613543645863-0.9082745460399643i
1.00687381604959,5.0E9,-0.005688789559060048+0.0027229633634767918i,-0.4173493532471305-0.9082359375380517i
1.00778114625163,5.0E9,-0.005737541032807591+0.002746028039935572i,-0.4174326077246164-0.9081972995163655i
1.00868902419636,5.0E9,-0.005786309654693867+0.0027691117760043475i,-0.41751589892345853-0.9081586319811417i
1.00959745037993,5.0E9,-0.005835095434840909+0.00279221466924876i,-0.41759922685620604-0.9081199349227221i
1.01871197493415,5.0E9,-0.006323897448226212+0.0030243000644944425i,-0.4184345313735888-0.9077313322849342i
1.02788187361308,5.0E9,-0.00681442098011491+0.003258319292833286i,-0.4192735350526635-0.9073397423206124i
1.03710765258186,5.0E9,-0.007306672462610031+0.0034942912711298625i,-0.4201162617025088-0.9069451355167166i
1.04638982419353,5.0E9,-0.0078006583872390674+0.0037322354169927767i,-0.42096273504839593-0.9065474818871705i
1.05572890708386,5.0E9,-0.008296385438450038+0.0039721702824604185i,-0.4218129805287373-0.9061467505132776i
1.06512542626792,5.0E9,-0.00879385987713004+0.004214116568237449i,-0.4226670213424383-0.9057429114737727i
1.0745799132385,5.0E9,-0.009293088311991937+0.004458093241934937i,-0.4235248831426125-0.905335933057758i
1.08409290606633,5.0E9,-0.009794077181870442+0.004704120612631231i,-0.4243865905385606-0.9049257839215684i
1.09366494950212,5.0E9,-0.010296832967991953+0.00495221907625381i,-0.42525216875838756-0.9045124321113363i
