% Model,MSL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Mar 18 2025, 22:01"
% Table,Table 21 - MUT_Integration
% freq (GHz),plane_x (mm),Electric field norm (V*m),emw.normE^2 (kg^2*m^4/(s^6*A^2)),S11 (m^2),S21 (m^2)
5,-0.708,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.698,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.688,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.678,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.6679999999999999,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.6579999999999999,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.6479999999999999,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.638,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.628,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.618,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.6079999999999999,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.598,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.588,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.578,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.568,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.5579999999999999,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.5479999999999999,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.5379999999999999,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.5279999999999999,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.518,0,0,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.508,0.3253155545225174,4247.44790139198,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.49799999999999994,0.3249863482016602,4252.892861826644,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.48799999999999993,0.3246990303788142,4258.978385379271,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.478,0.32447375333948203,4266.2170145112805,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.4679999999999999,0.32436012418342786,4275.003611630106,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.45799999999999996,0.3243006052288832,4284.74983654508,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.44799999999999995,0.32431734486911656,4295.144344244979,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.43799999999999994,0.3244366645489719,4307.556867240898,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.42799999999999994,0.324647678520874,4321.66350177209,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.418,0.32496255036195454,4337.604751583801,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.4079999999999999,0.32539960203789997,4356.052988640668,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
5,-0.39799999999999996,0.325916387698553,4376.186397855663,-1.0638110549650305E-6+5.096795232429704E-7i,-8.334363748400862E-5-1.8170569058975492E-4i
