% Model,MSL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 13 2025, 11:19"
% Table,Table 24 - Global Evaluation 1
% MS_W (mm),MUT_Er,freq (GHz),S11 (1),S21 (1)
0.66,1.00053779988,5,0.16639097272790443-0.0694065679778203i,-0.3789847317712282-0.907296242521069i
0.66,1.00053789020379,5,0.16639096595074748-0.06940656717801755i,-0.3789847416918358-0.9072962396537292i
0.66,1.00053798052758,5,0.1663909591716594-0.06940656636594013i,-0.37898475159457906-0.9072962368061764i
0.66,1.00053807085138,5,0.16639095238250387-0.06940656557231943i,-0.378984761531077-0.907296233967639i
0.66,1.00053816117519,5,0.16639094557075432-0.0694065647381283i,-0.37898477154429644-0.9072962310880441i
0.66,1.000538251499,5,0.16639093881108752-0.06940656394583591i,-0.3789847814010727-0.9072962282516659i
0.66,1.00053834182282,5,0.16639093198770033-0.06940656316175156i,-0.3789847913658456-0.9072962254167833i
0.66,1.00053843214664,5,0.16639092522178486-0.0694065623573509i,-0.3789848013075519-0.9072962225812196i
0.66,1.00053852247047,5,0.16639091845033516-0.0694065615804393i,-0.3789848112397244-0.9072962197279718i
0.66,1.0005386127943,5,0.16639091165982817-0.0694065607826763i,-0.378984821159534-0.9072962168613122i
0.66,1.00062812638563,5,0.16638418617028528-0.06940577068787002i,-0.37899466723072084-0.9072933972516102i
0.66,1.0007184583297,5,0.16637739932844192-0.06940497316036714i,-0.37900460319015417-0.9072905516619493i
0.66,1.00080879571271,5,0.16637061218719432-0.06940417549816127i,-0.37901453956857595-0.9072877057896906i
0.66,1.00089913853514,5,0.16636382476085032-0.06940337765310986i,-0.37902447641644404-0.9072848596113582i
0.66,1.00098948679748,5,0.1663570370239585-0.0694025796881311i,-0.3790344137849309-0.9072820131282266i
0.66,1.00107984050023,5,0.16635024900526235-0.0694017815066797i,-0.3790443516043039-0.907279166369858i
0.66,1.00117019964387,5,0.16634346068495312-0.06940098319826289i,-0.37905428989685447-0.9072763193145954i
0.66,1.0012605642289,5,0.16633667202421307-0.06940018469407083i,-0.37906422867133144-0.9072734719518847i
0.66,1.00135093425582,5,0.16632988308975083-0.06939938602419252i,-0.379074167962086-0.9072706242517276i
0.66,1.0014413097251,5,0.16632309387687894-0.06939858719616573i,-0.3790841076512398-0.907267776309794i
0.66,1.00234536385658,5,0.16625518518977084-0.06939058957988928i,-0.37918353102679037-0.9072392800924124i
0.66,1.00324996276642,5,0.1661872466780995-0.06938257512231263i,-0.37928300193335257-0.9072107538671246i
0.66,1.00415510694717,5,0.16611927835146237-0.06937454367652543i,-0.37938252023387703-0.9071821975362964i
0.66,1.00506079689202,5,0.16605128013403087-0.06936649538297354i,-0.3794820861761427-0.907153611095666i
0.66,1.00596703309471,5,0.16598325204335218-0.0693584301661112i,-0.3795816996894466-0.9071249945128793i
0.66,1.00687381604959,5,0.16591519301582186-0.06935034713194564i,-0.3796813601544492-0.9070963476570221i
0.66,1.00778114625163,5,0.16584710616779147-0.06934224878891428i,-0.3797810695151492-0.9070676707464778i
0.66,1.00868902419636,5,0.1657789883807707-0.06933413262604432i,-0.37988082589289407-0.9070389635119348i
0.66,1.00959745037993,5,0.16571083954936583-0.06932599851679752i,-0.37998062945137734-0.9070102258852326i
0.66,1.01871197493415,5,0.1650277113118234-0.06924372553243116i,-0.3809813015056537-0.9067211773226941i
0.66,1.02788187361308,5,0.1643415703290451-0.0691597262636913i,-0.3819867793441034-0.9064290618951378i
0.66,1.03710765258186,5,0.16365239968915865-0.06907397877330575i,-0.3829970954506118-0.9061338443545264i
0.66,1.04638982419353,5,0.16296018244733546-0.0689864606082441i,-0.3840122825632309-0.9058354889361112i
0.66,1.05572890708386,5,0.162264901548345-0.06889714916904592i,-0.3850323736218283-0.9055339593762172i
0.66,1.06512542626792,5,0.16156654005169938-0.06880602161409896i,-0.38605740170519026-0.9052292190531505i
0.66,1.0745799132385,5,0.16086508064670965-0.06871305445533808i,-0.3870874005318634-0.9049212306743553i
0.66,1.08409290606633,5,0.16016050611741584-0.06861822413610437i,-0.38812240379813234-0.9046099564947371i
0.66,1.09366494950212,5,0.15945279913799926-0.06852150680820884i,-0.3891624455300466-0.9042953583776543i
0.7800000000000001,1.00053779988,5,0.08965781052915993-0.03916175120540333i,-0.39902693750753115-0.9112774567884745i
0.7800000000000001,1.00053789020379,5,0.08965780455632615-0.03916174961997075i,-0.39902694681559964-0.9112774533684902i
0.7800000000000001,1.00053798052758,5,0.08965779856194675-0.039161748063380394i,-0.3990269561090788-0.9112774499645548i
0.7800000000000001,1.00053807085138,5,0.08965779262141726-0.0391617465128572i,-0.39902696532606124-0.9112774465614575i
0.7800000000000001,1.00053816117519,5,0.08965778665758765-0.03916174494808643i,-0.39902697458110487-0.9112774431424772i
0.7800000000000001,1.000538251499,5,0.08965778066333403-0.03916174340119037i,-0.39902698389747177-0.9112774397465099i
0.7800000000000001,1.00053834182282,5,0.08965777470716337-0.039161741857238926i,-0.3990269931599614-0.9112774363509513i
0.7800000000000001,1.00053843214664,5,0.08965776871245446-0.039161740261916524i,-0.3990270024195408-0.9112774329252866i
0.7800000000000001,1.00053852247047,5,0.08965776273288917-0.039161738703835186i,-0.3990270116969802-0.9112774295223284i
0.7800000000000001,1.0005386127943,5,0.08965775676412768-0.03916173716476999i,-0.399027020985558-0.9112774261240016i
0.7800000000000001,1.00062812638563,5,0.08965183559237762-0.03916019148544696i,-0.3990362111051722-0.9112740504523528i
0.7800000000000001,1.0007184583297,5,0.08964586035382176-0.039158631594617625i,-0.39904548522083494-0.9112706438224807i
0.7800000000000001,1.00080879571271,5,0.08963988492059301-0.03915707155899116i,-0.39905475966785764-0.9112672368927605i
0.7800000000000001,1.00089913853514,5,0.08963390923985912-0.03915551131299975i,-0.39906403453992934-0.9112638296485672i
0.7800000000000001,1.00098948679748,5,0.08962793334370964-0.039153950864347i,-0.39907330983028505-0.9112604221203904i
0.7800000000000001,1.00107984050023,5,0.0896219571841339-0.03915239025758591i,-0.39908258558399534-0.9112570142753021i
