% Model,STRL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 9 2025, 20:58"
% Table,Table 24 - Global Evaluation 1
% MUT_Er,Frequency (Hz),S11 (1),S21 (1)
1.00053779988,5.0E9,-0.0018561904632248272+8.018532502629601E-4i,-0.36484103675009966-0.9306166166057688i
1.00053789020379,5.0E9,-0.0018562007964506577+8.018572924990546E-4i,-0.3648410511631245-0.9306166109439904i
1.00053798052758,5.0E9,-0.0018562111674194526+8.018614187440657E-4i,-0.36484106556578627-0.9306166052756162i
1.00053807085138,5.0E9,-0.001856221498411159+8.018655003754411E-4i,-0.3648410799504852-0.9306165995896414i
1.00053816117519,5.0E9,-0.0018562319096046664+8.018695955330654E-4i,-0.364841094418706-0.930616593889616i
1.000538251499,5.0E9,-0.0018562421985345522+8.018737678648774E-4i,-0.3648411087688509-0.9306165882046618i
1.00053834182282,5.0E9,-0.0018562525845808864+8.018777693975428E-4i,-0.36484112322877627-0.9306165825835293i
1.00053843214664,5.0E9,-0.0018562629232834027+8.018819337566905E-4i,-0.3648411375853717-0.9306165768628383i
1.00053852247047,5.0E9,-0.0018562733291652479+8.018859543397804E-4i,-0.36484115204225936-0.9306165712098593i
1.0005386127943,5.0E9,-0.0018562836647941338+8.018900701665967E-4i,-0.3648411664333722-0.9306165655268159i
1.00062812638563,5.0E9,-0.0018665484545154598+8.059502265195922E-4i,-0.3648554521078017-0.9306109394062103i
1.0007184583297,5.0E9,-0.0018769069484807944+8.100476720485784E-4i,-0.364869868183014-0.9306052615580164i
1.00080879571271,5.0E9,-0.001887265798615978+8.141457029222927E-4i,-0.36488428489625496-0.9305995830699363i
1.00089913853514,5.0E9,-0.0018976250878401046+8.182442964020985E-4i,-0.3648987023185114-0.9305939039034445i
1.00098948679748,5.0E9,-0.001907984727278844+8.223433628971854E-4i,-0.364913120295909-0.9305882241693i
1.00107984050023,5.0E9,-0.0019183447570343404+8.264430012390654E-4i,-0.36492753883333695-0.9305825437345095i
1.00117019964387,5.0E9,-0.0019287051851559767+8.305430626314964E-4i,-0.3649419581138274-0.9305768627295163i
1.0012605642289,5.0E9,-0.00193906609117942+8.346438403255133E-4i,-0.3649563780945512-0.9305711809489292i
1.00135093425582,5.0E9,-0.001949427298414541+8.387450597793445E-4i,-0.36497079856834047-0.9305654986267301i
1.0014413097251,5.0E9,-0.0019597888658536176+8.428467547273432E-4i,-0.3649852196240654-0.9305598156406155i
1.00234536385658,5.0E9,-0.0020634269775474225+8.83893089831276E-4i,-0.3651294662691146-0.9305029505192997i
1.00324996276642,5.0E9,-0.0021671046801611028+9.249924931171796E-4i,-0.36527377639203873-0.9304460209792893i
1.00415510694717,5.0E9,-0.002270821937219658+9.661447212319469E-4i,-0.365418150173466-0.930389027111655i
1.00506079689202,5.0E9,-0.0023745788194586837+0.0010073501257192097i,-0.3655625875694216-0.9303319687920538i
1.00596703309471,5.0E9,-0.0024783753097613825+0.0010486084277058511i,-0.36570708860012063-0.9302748460048118i
1.00687381604959,5.0E9,-0.0025822114716097743+0.0010899200433275142i,-0.3658516533580197-0.9302176585511803i
1.00778114625163,5.0E9,-0.002686087232128642+0.0011312848659682558i,-0.3659962818696477-0.930160406441696i
1.00868902419636,5.0E9,-0.002790002619880205+0.0011727028884884114i,-0.36614097414029173-0.9301030896611555i
1.00959745037993,5.0E9,-0.0028939577201121834+0.0012141743068273512i,-0.36628573021073085-0.930045707986503i
1.01871197493415,5.0E9,-0.00393569110129306+0.0016318363947641795i,-0.3677368059947078-0.9294683098537627i
1.02788187361308,5.0E9,-0.0049813987436106546+0.002054901629858014i,-0.36919429480229443-0.9288843473786244i
1.03710765258186,5.0E9,-0.00603108857440855+0.0024834332106310948i,-0.37065822728217823-0.9282937445697257i
1.04638982419353,5.0E9,-0.007084768201159619+0.0029174948206943637i,-0.37212863426646436-0.9276964247151259i
1.05572890708386,5.0E9,-0.008142445067331573+0.0033571514464959635i,-0.37360554656950457-0.9270923097729042i
1.06512542626792,5.0E9,-0.009204126231034948+0.003802468501981586i,-0.37508899493992887-0.9264813209580967i
1.0745799132385,5.0E9,-0.010269818334841575+0.004253512260453566i,-0.37657901001933325-0.9258633784670579i
1.08409290606633,5.0E9,-0.011339527998370258+0.004710349964701467i,-0.37807562279419216-0.92523840123735i
1.09366494950212,5.0E9,-0.012413261281503551+0.0051730495738434076i,-0.3795788640376119-0.9246063074512711i
