% Model,STRL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Mar 18 2025, 12:30"
% Table,Table 21 - MUT_Integration
% freq (GHz),plane_x (mm),Electric field norm (V*m),emw.normE^2 (kg^2*m^4/(s^6*A^2)),S11 (m^2),S21 (m^2)
5,-0.708,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.698,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.688,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.678,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.6679999999999999,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.6579999999999999,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.6479999999999999,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.638,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.628,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.618,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.6079999999999999,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.598,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.588,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.578,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
